人名1 人名2 紧密程度
汪淼 史强 25
汪淼 常伟思 9
汪淼 杨冬 36
汪淼 丁仪 40
汪淼 申玉菲 54
汪淼 豆豆 1
汪淼 魏成 24
汪淼 潘寒 7
汪淼 叶文洁 24
汪淼 沙瑞山 17
汪淼 杨卫宁 4
汪淼 雷志成 2
汪淼 徐冰冰 11
汪淼 斯坦顿 8
史强 汪淼 25
史强 常伟思 9
史强 叶文洁 1
史强 斯坦顿 6
史强 丁仪 1
史强 罗辑 241
史强 章北海 1
史强 坎特 29
史强 史晓明 7
史强 庄颜 3
史强 张翔 1
史强 张延 1
史强 张援朝 1
史强 郭正明 1
常伟思 史强 9
常伟思 汪淼 9
常伟思 斯坦顿 1
常伟思 叶文洁 1
常伟思 智子 2
常伟思 章北海 28
常伟思 吴岳 2
杨冬 汪淼 36
杨冬 丁仪 13
杨冬 叶文洁 21
杨冬 杨卫宁 2
杨冬 雷志成 1
杨冬 沙瑞山 1
杨冬 齐猎头 7
杨冬 罗辑 5
杨冬 智子 3
丁仪 杨冬 13
丁仪 汪淼 40
丁仪 申玉菲 1
丁仪 史强 1
丁仪 智子 13
丁仪 杨晋文 1
丁仪 张援朝 1
丁仪 贾维彬 2
丁仪 章北海 9
丁仪 西子少校 1
丁仪 曹彬 1
丁仪 白Ice 3
丁仪 叶文洁 1
丁仪 罗辑 1
丁仪 云天明 1
申玉菲 汪淼 54
申玉菲 丁仪 1
申玉菲 魏成 4
申玉菲 潘寒 19
申玉菲 徐冰冰 1
申玉菲 伊文斯 2
豆豆 汪淼 1
豆豆 李瑶 1
魏成 汪淼 24
魏成 申玉菲 4
魏成 徐冰冰 2
魏成 潘寒 1
潘寒 申玉菲 19
潘寒 汪淼 7
潘寒 魏成 1
潘寒 叶文洁 6
李瑶 豆豆 1
叶文洁 汪淼 24
叶文洁 杨冬 21
叶文洁 沙瑞山 5
叶文洁 叶哲泰 6
叶文洁 白沐霖 15
叶文洁 马钢 1
叶文洁 程丽华 12
叶文洁 叶文雪 8
叶文洁 杨卫宁 148
叶文洁 雷志成 48
叶文洁 潘寒 6
叶文洁 伊文斯 28
叶文洁 史强 1
叶文洁 齐猎头 16
叶文洁 大凤 16
叶文洁 唐红静 1
叶文洁 麦克 2
叶文洁 常伟思 1
叶文洁 智子 3
叶文洁 萨伊 4
叶文洁 罗辑 30
叶文洁 庄颜 5
叶文洁 程心 3
叶文洁 章北海 2
叶文洁 丁仪 1
叶文洁 云天明 2
楠楠 洋洋 3
楠楠 咪咪 3
洋洋 楠楠 3
洋洋 咪咪 1
咪咪 楠楠 3
咪咪 洋洋 1
沙瑞山 叶文洁 5
沙瑞山 汪淼 17
沙瑞山 杨卫宁 2
沙瑞山 雷志成 1
沙瑞山 杨冬 1
叶哲泰 叶文洁 6
叶哲泰 杨卫宁 6
白沐霖 叶文洁 15
白沐霖 马钢 2
白沐霖 叶文雪 1
马钢 白沐霖 2
马钢 叶文洁 1
程丽华 叶文洁 12
程丽华 杨卫宁 1
叶文雪 叶文洁 8
叶文雪 白沐霖 1
雷志成 杨卫宁 31
雷志成 叶文洁 48
雷志成 汪淼 2
雷志成 杨冬 1
雷志成 沙瑞山 1
杨卫宁 雷志成 31
杨卫宁 叶文洁 148
杨卫宁 叶哲泰 6
杨卫宁 程丽华 1
杨卫宁 汪淼 4
杨卫宁 杨冬 2
杨卫宁 沙瑞山 2
徐冰冰 汪淼 11
徐冰冰 申玉菲 1
徐冰冰 魏成 2
伊文斯 申玉菲 2
伊文斯 叶文洁 28
伊文斯 麦克 8
伊文斯 智子 3
伊文斯 萨伊 1
伊文斯 罗辑 1
伊文斯 云天明 1
齐猎头 叶文洁 16
齐猎头 杨冬 7
齐猎头 大凤 3
大凤 叶文洁 16
大凤 齐猎头 3
唐红静 叶文洁 1
麦克 叶文洁 2
麦克 伊文斯 8
麦克 智子 1
斯坦顿 史强 6
斯坦顿 汪淼 8
斯坦顿 常伟思 1
斯坦顿 罗辑 2
智子 叶文洁 3
智子 常伟思 2
智子 丁仪 13
智子 麦克 1
智子 伊文斯 3
智子 张援朝 5
智子 杨晋文 5
智子 贾维彬 6
智子 庄颜 2
智子 罗辑 65
智子 哈里斯 1
智子 杨冬 3
智子 张翔 1
智子 苗福全 1
智子 伽尔宁 1
智子 程心 246
智子 毕云峰 3
智子 曹彬 3
智子 朴义君少校 1
智子 韦斯特博士 2
智子 云天明 103
智子 深水王子 1
智子 杰森 1
智子 白Ice 2
智子 关一帆 22
智子 章北海 1
罗辑 杨冬 5
罗辑 史强 241
罗辑 章北海 6
罗辑 吴岳 3
罗辑 白蓉 27
罗辑 坎特 84
罗辑 萨伊 35
罗辑 伽尔宁 12
罗辑 庄颜 144
罗辑 智子 65
罗辑 叶文洁 30
罗辑 张翔 10
罗辑 伊文斯 1
罗辑 熊文 10
罗辑 郭正明 1
罗辑 史晓明 11
罗辑 张延 1
罗辑 张援朝 1
罗辑 程心 144
罗辑 云天明 15
罗辑 曹彬 1
罗辑 丁仪 1
罗辑 斯坦顿 2
吴岳 章北海 66
吴岳 罗辑 3
吴岳 常伟思 2
章北海 吴岳 66
章北海 罗辑 6
章北海 史强 1
章北海 常伟思 28
章北海 丁仪 9
章北海 列文 1
章北海 井上明 2
章北海 程心 2
章北海 叶文洁 2
章北海 云天明 2
章北海 智子 1
雷德尔 琼斯 2
琼斯 雷德尔 2
张援朝 杨晋文 29
张援朝 智子 5
张援朝 贾维彬 2
张援朝 丁仪 1
张援朝 苗福全 14
张援朝 史晓明 6
张援朝 张卫明 2
张援朝 张延 2
张援朝 史强 1
张援朝 罗辑 1
杨晋文 张援朝 29
杨晋文 智子 5
杨晋文 贾维彬 2
杨晋文 丁仪 1
杨晋文 苗福全 10
贾维彬 智子 6
贾维彬 杨晋文 2
贾维彬 张援朝 2
贾维彬 丁仪 2
苗福全 张援朝 14
苗福全 杨晋文 10
苗福全 智子 1
史晓明 张援朝 6
史晓明 史强 7
史晓明 罗辑 11
史晓明 张延 3
白蓉 罗辑 27
坎特 罗辑 84
坎特 史强 29
坎特 萨伊 2
坎特 庄颜 2
坎特 张翔 6
坎特 伽尔宁 1
萨伊 坎特 2
萨伊 罗辑 35
萨伊 伊文斯 1
萨伊 叶文洁 4
萨伊 程心 6
萨伊 云天明 4
伽尔宁 罗辑 12
伽尔宁 智子 1
伽尔宁 坎特 1
庄颜 罗辑 144
庄颜 智子 2
庄颜 史强 3
庄颜 坎特 2
庄颜 叶文洁 5
庄颜 程心 4
哈里斯 智子 1
张翔 史强 1
张翔 罗辑 10
张翔 坎特 6
张翔 智子 1
张卫明 张援朝 2
张卫明 张延 2
张延 张援朝 2
张延 张卫明 2
张延 史强 1
张延 罗辑 1
张延 史晓明 3
熊文 罗辑 10
郭正明 罗辑 1
郭正明 史强 1
肯博士 罗宾逊将军 2
罗宾逊将军 肯博士 2
列文 章北海 1
列文 井上明 3
井上明 章北海 2
井上明 列文 3
西子少校 丁仪 1
赵鑫 李维 10
李维 赵鑫 10
云天明 张医生 25
云天明 老李 34
云天明 胡文 62
云天明 程心 406
云天明 何博士 44
云天明 于维民 4
云天明 萨伊 4
云天明 乔依娜 2
云天明 智子 103
云天明 罗辑 15
云天明 深水王子 8
云天明 露珠公主 5
云天明 空灵画师 4
云天明 宽姨 2
云天明 杰森 1
云天明 针眼画师 3
云天明 白Ice 1
云天明 关一帆 28
云天明 叶文洁 2
云天明 伊文斯 1
云天明 章北海 2
云天明 丁仪 1
张医生 云天明 25
张医生 老李 5
张医生 胡文 2
张医生 何博士 1
老李 张医生 5
老李 云天明 34
胡文 云天明 62
胡文 程心 22
胡文 张医生 2
胡文 于维民 1
胡文 何博士 1
程心 云天明 406
程心 胡文 22
程心 何博士 6
程心 于维民 6
程心 柯曼琳 8
程心 萨伊 6
程心 乔依娜 4
程心 智子 246
程心 毕云峰 24
程心 罗辑 144
程心 叶文洁 3
程心 章北海 2
程心 庄颜 4
程心 深水王子 5
程心 曹彬 119
程心 露珠公主 3
程心 空灵画师 2
程心 宽姨 1
程心 杰森 4
程心 巴勒莫 1
程心 布莱尔 2
程心 关一帆 242
何博士 云天明 44
何博士 程心 6
何博士 胡文 1
何博士 张医生 1
于维民 程心 6
于维民 胡文 1
于维民 云天明 4
柯曼琳 程心 8
乔依娜 程心 4
乔依娜 云天明 2
毕云峰 程心 24
毕云峰 智子 3
毕云峰 曹彬 20
毕云峰 巴勒莫 2
毕云峰 杰森 3
曹彬 丁仪 1
曹彬 智子 3
曹彬 伊万 1
曹彬 毕云峰 20
曹彬 程心 119
曹彬 巴勒莫 2
曹彬 杰森 1
曹彬 罗辑 1
伊万 曹彬 1
朴义君少校 智子 1
关一帆 艾克中尉 2
关一帆 卓文上尉 2
关一帆 程心 242
关一帆 云天明 28
关一帆 智子 22
韦斯特博士 智子 2
艾克中尉 关一帆 2
卓文上尉 关一帆 2
深水王子 程心 5
深水王子 云天明 8
深水王子 智子 1
深水王子 冰沙王子 2
深水王子 露珠公主 9
深水王子 空灵画师 3
深水王子 宽姨 13
深水王子 针眼画师 1
冰沙王子 深水王子 2
冰沙王子 露珠公主 9
冰沙王子 针眼画师 6
冰沙王子 空灵画师 1
冰沙王子 宽姨 2
露珠公主 深水王子 9
露珠公主 冰沙王子 9
露珠公主 针眼画师 4
露珠公主 宽姨 16
露珠公主 程心 3
露珠公主 云天明 5
露珠公主 空灵画师 2
空灵画师 针眼画师 3
空灵画师 宽姨 12
空灵画师 冰沙王子 1
空灵画师 深水王子 3
空灵画师 云天明 4
空灵画师 程心 2
空灵画师 露珠公主 2
针眼画师 空灵画师 3
针眼画师 露珠公主 4
针眼画师 冰沙王子 6
针眼画师 宽姨 2
针眼画师 深水王子 1
针眼画师 云天明 3
针眼画师 白Ice 1
宽姨 露珠公主 16
宽姨 针眼画师 2
宽姨 空灵画师 12
宽姨 冰沙王子 2
宽姨 深水王子 13
宽姨 广田老师 6
宽姨 云天明 2
宽姨 程心 1
广田老师 宽姨 6
巴勒莫 毕云峰 2
巴勒莫 曹彬 2
巴勒莫 杰森 1
巴勒莫 程心 1
杰森 云天明 1
杰森 程心 4
杰森 毕云峰 3
杰森 曹彬 1
杰森 巴勒莫 1
杰森 智子 1
布莱尔 程心 2
白Ice 丁仪 3
白Ice 智子 2
白Ice 云天明 1
白Ice 针眼画师 1
人名1 人名2 紧密程度
汪淼 史强 25
汪淼 常伟思 9
汪淼 杨冬 36
汪淼 丁仪 40
汪淼 申玉菲 54
汪淼 豆豆 1
汪淼 魏成 24
汪淼 潘寒 7
汪淼 叶文洁 24
汪淼 沙瑞山 17
汪淼 杨卫宁 4
汪淼 雷志成 2
汪淼 徐冰冰 11
汪淼 斯坦顿 8
史强 汪淼 25
史强 常伟思 9
史强 叶文洁 1
史强 斯坦顿 6
史强 丁仪 1
史强 罗辑 241
史强 章北海 1
史强 坎特 29
史强 史晓明 7
史强 庄颜 3
史强 张翔 1
史强 张延 1
史强 张援朝 1
史强 郭正明 1
史强 乔纳森 1
常伟思 史强 9
常伟思 汪淼 9
常伟思 斯坦顿 1
常伟思 叶文洁 1
常伟思 智子 2
常伟思 章北海 28
常伟思 吴岳 2
杨冬 汪淼 36
杨冬 丁仪 13
杨冬 叶文洁 21
杨冬 杨卫宁 2
杨冬 雷志成 1
杨冬 沙瑞山 1
杨冬 齐猎头 7
杨冬 罗辑 5
杨冬 智子 3
丁仪 杨冬 13
丁仪 汪淼 40
丁仪 申玉菲 1
丁仪 史强 1
丁仪 智子 13
丁仪 杨晋文 1
丁仪 张援朝 1
丁仪 贾维彬 2
丁仪 章北海 9
丁仪 西子少校 1
丁仪 曹彬 1
丁仪 白Ice 3
丁仪 叶文洁 1
丁仪 罗辑 1
丁仪 云天明 1
申玉菲 汪淼 54
申玉菲 丁仪 1
申玉菲 魏成 4
申玉菲 潘寒 19
申玉菲 徐冰冰 1
申玉菲 伊文斯 2
豆豆 汪淼 1
豆豆 李瑶 1
魏成 汪淼 24
魏成 申玉菲 4
魏成 徐冰冰 2
魏成 潘寒 1
潘寒 申玉菲 19
潘寒 汪淼 7
潘寒 魏成 1
潘寒 叶文洁 6
李瑶 豆豆 1
